Unnamed: 0,game_id,season,home_team,away_team,week,season_type,team.x,team.y,url
2199,2017_04_WAS_KC,2017,KC,WAS,4,REG,chiefs,redskins,https://www.nfl.com/plus/games/redskins-at-chiefs-2017-reg-4/
891,2012_06_PIT_TEN,2012,TEN,PIT,6,REG,titans,steelers,https://www.nfl.com/plus/games/steelers-at-titans-2012-reg-6/
1233,2013_12_DAL_NYG,2013,NYG,DAL,12,REG,giants,cowboys,https://www.nfl.com/plus/games/cowboys-at-giants-2013-reg-12/
2772,2019_07_NE_NYJ,2019,NYJ,NE,7,REG,jets,patriots,https://www.nfl.com/plus/games/patriots-at-jets-2019-reg-7/
1985,2016_08_OAK_TB,2016,TB,LV,8,REG,buccaneers,raiders,https://www.nfl.com/plus/games/raiders-at-buccaneers-2016-reg-8/
466,2010_14_IND_TEN,2010,TEN,IND,14,REG,titans,colts,https://www.nfl.com/plus/games/colts-at-titans-2010-reg-14/
87,2009_06_NYG_NO,2009,NO,NYG,6,REG,saints,giants,https://www.nfl.com/plus/games/giants-at-saints-2009-reg-6/
1456,2014_08_WAS_DAL,2014,DAL,WAS,8,REG,cowboys,redskins,https://www.nfl.com/plus/games/redskins-at-cowboys-2014-reg-8/
1551,2014_15_MIA_NE,2014,NE,MIA,15,REG,patriots,dolphins,https://www.nfl.com/plus/games/dolphins-at-patriots-2014-reg-15/
265,2009_20_MIN_NO,2009,NO,MIN,3,POST,saints,vikings,https://www.nfl.com/plus/games/vikings-at-saints-2009-post-3/
2437,2018_03_CHI_ARI,2018,ARI,CHI,3,REG,cardinals,bears,https://www.nfl.com/plus/games/bears-at-cardinals-2018-reg-3/
3685,2022_15_BAL_CLE,2022,CLE,BAL,15,REG,browns,ravens,https://www.nfl.com/plus/games/ravens-at-browns-2022-reg-15/
3784,2023_02_MIN_PHI,2023,PHI,MIN,2,REG,eagles,vikings,https://www.nfl.com/plus/games/vikings-at-eagles-2023-reg-2/
796,2011_19_HOU_BAL,2011,BAL,HOU,2,POST,ravens,texans,https://www.nfl.com/plus/games/texans-at-ravens-2011-post-2/
